,timestamp,student_id,f1,f2,f3,f4,f5,f6,f7,f8,f1_output,f2_output,f3_output,f4_output,f5_output,f6_output,f7_output,f8_output
106,"17/05/2024,14:30:22",574,"[0.999999,0.832119]","[0.827285,0.999999]","[9.99999e-01,8.20625e-01,1.00000e-06]","[0.388906,0.38311,0.33985,0.416136]","[0.999999,0.999999,0.999999,0.999999]","[0.365503,0.319915,0.571856,0.690115,0.103458]","[1.00000e-06,2.65500e-01,1.36001e-01,4.03850e-01,3.56597e-01,7.99702e-01]","[0.193168,0.42327,0.168585,0.395174,0.450608,0.478007,0.38189,0.429099]",7.90E-126,-0.019091466,-0.130737735,0.267951673,8662.405001,-0.324061194,1.625148027,9.712776521
107,"17/05/2024,14:35:45",574,"[0.725058,0.99672,]","[0.928868,0.176363]","[0.397245,0.999999,0.759369]","[0.980631,0.964934,0.981967,0.847573]","[0.042478,0.032704,0.014055,0.995106]","[0.374419,0.303885,0.572123,0.703998,0.191153]","[9.99999e-01,9.99999e-01,5.04634e-01,9.99999e-01,9.99999e-01,1.00000e-06]","[0.233667,0.493371,0.061274,0.38461,0.540571,0.730449,0.23648,0.630742]",1.80E-101,0.023955426,-0.145578252,-46.72695356,177.1024736,-0.417451697,0.001018153,9.687636449
148,"31/05/2024,09:38:14",574,"[1.00000e-06,7.71753e-01]","[0.282135,0.999999]","[0.461478,0.,0.435454]","[0.424512,0.272535,0.374892,0.447919]","[0.085195,0.995807,0.002077,0.072814]","[2.85449e-01,4.75905e-01,3.28004e-01,5.50762e-01,1.00000e-06]","[1.00000e-06,1.00000e-06,1.00000e-06,8.93860e-01,1.00000e-06,9.99999e-01]","[0.08282,0.388044,0.17223,0.144914,0.614598,0.592764,0.247306,0.612912]",-1.04E-210,0.179690178,-0.07212007,-1.310525153,179.0853803,-0.848277873,0.004132002,9.907084265
149,"31/05/2024,11:06:27",574,"[0.999955,0.237265]","[0.287912,0.999972]","[0.996038,0.641112,0.817124]","[0.436954,0.284381,0.370262,0.436121]","[0.999694,0.997367,0.999987,0.999938]","[2.94649e-01,4.73741e-01,3.23582e-01,5.48919e-01,1.66000e-04]","[5.80000e-04,4.84000e-04,5.70000e-04,8.89780e-01,2.78000e-03,9.99827e-01]","[0.087384,0.387639,0.170172,0.150512,0.614272,0.587032,0.23437,0.616864]",7.59E-203,0.02476712,-0.050426621,-1.027918451,8604.385826,-0.933318868,0.00447893,9.911154701
254,"19/06/2024,06:13:56",574,"[0.332308,0.761521]","[0.311627,0.997117]","[0.097996,0.98915,0.710087]","[0.247925,0.198603,0.000784,0.059822]","[0.996514,0.975498,0.974099,0.960395]","[0.193136,0.277038,0.938046,0.957521,0.00712,]","[0.364645,0.046478,0.059184,0.154028,0.18221,0.968352]","[0.319364,0.370498,0.410271,0.322017,0.487098,0.428352,0.513993,0.380704]",4.67E-74,0.100240977,-0.157201567,-15.24568569,7017.667917,-0.905910489,0.739428446,9.333814606
271,"21/06/2024,03:50:45",574,"[0.332532,0.987914]","[0.450692,0.534371]","[0.832232,0.225226,0.00319,]","[0.322282,0.303369,0.019254,0.107992]","[0.996885,0.957231,0.957002,0.96757,]","[0.167628,0.026525,0.459536,0.977125,0.01948,]","[0.029789,0.116805,0.453777,0.541959,0.267214,0.582075]","[0.28352,0.312605,0.497725,0.469507,0.452343,0.466676,0.621395,0.499212]",-8.31E-152,0.183846527,-0.154317749,-13.01297597,6586.520424,-1.107785117,1.42537024,8.980744185
305,"25/06/2024,02:23:49",574,"[0.41681,0.214962]","[0.960112,0.18433,]","[0.457033,0.529042,0.928906]","[0.261888,0.349456,0.321691,0.30658,]","[0.966041,0.947867,0.995674,0.9942,]","[0.007055,0.580691,0.60525,0.503737,0.010302]","[0.052357,0.386569,0.704583,0.060669,0.062776,0.530013]","[0.270912,0.503124,0.266891,0.300144,0.627064,0.573315,0.600601,0.542867]",-8.78E-31,-0.004778947,-0.141559548,-2.196233102,6996.330178,-1.048091268,0.582823538,9.396503699
327,"28/06/2024,05:08:22",574,"[0.994098,0.639689]","[0.97012,0.83753]","[0.225966,0.599166,0.146361]","[0.212149,0.374525,0.246689,0.339307]","[0.959281,0.96614,0.98732,0.963459]","[0.02292,0.571375,0.957618,0.317278,0.001269]","[0.076274,0.343742,0.072062,0.03138,0.019292,0.551694]","[0.410813,0.582504,0.481759,0.377063,0.435375,0.476597,0.357755,0.64947,]",-9.57E-94,0.042538617,-0.101125669,-4.053799968,6534.228576,-1.570397298,0.252975536,9.079928656
381,"05/07/2024,06:55:01",574,"[0.991956,0.252093]","[0.975331,0.835531]","[0.963118,0.006426,0.306978]","[0.231842,0.389025,0.325622,0.289613]","[0.994846,0.969886,0.970904,0.919589]","[0.585939,0.003725,0.36736,0.326307,0.006587]","[0.140637,0.020173,0.450051,0.308297,0.356444,0.687928]","[0.380002,0.695215,0.34806,0.476601,0.453821,0.400772,0.393276,0.455481]",3.53E-191,0.001573454,-0.130990748,-3.534506373,6275.404692,-1.342350264,2.940788948,9.150053715
426,"10/07/2024,03:12:03",574,"[0.203738,0.224998]","[0.578678,0.350352]","[0.955401,0.649017,0.490302]","[0.166547,0.373192,0.230866,0.295784]","[0.978798,0.938366,0.997525,0.990466]","[0.278301,0.681158,0.605278,0.692281,0.019387]","[0.04933,0.084046,0.836046,0.267638,0.467768,0.474237]","[0.288567,0.435387,0.209746,0.422654,0.592524,0.473294,0.461475,0.612818]",5.92E-63,0.088187016,-0.010176481,-5.91644211,7030.066995,-0.647524264,0.992341025,9.595029619
438,"12/07/2024,10:09:44",574,"[0.198958,0.982771]","[0.460088,0.039925]","[0.848223,0.997873,0.694739]","[0.24757,0.296177,0.26158,0.34544,]","[0.938178,0.974592,0.981079,0.981871]","[0.009283,0.676505,0.516109,0.960698,0.062894]","[0.034059,0.245075,0.384562,0.037726,0.307633,0.99261,]","[0.344678,0.469266,0.432374,0.228734,0.513101,0.533379,0.451902,0.591316]",2.30E-218,-0.086968751,-0.163439857,-3.308136182,6545.629161,-1.055218466,0.692950108,9.328658971
